original_id,clone_id,edit_rate_bucket,actual_edit_rate,ops_applied
481,67,0.1,0.11290322580645161,2
481,68,0.2,0.20161290322580644,11
481,69,0.3,0.8951612903225806,6
518,70,0.02,0.02,4
518,71,0.05,0.05,3
518,72,0.1,0.1,9
518,73,0.2,0.48,2
518,74,0.3,0.325,4
555,75,0.02,0.017241379310344827,3
555,76,0.05,0.05172413793103448,9
555,77,0.1,0.09770114942528736,8
555,78,0.2,0.20114942528735633,3
555,79,0.3,0.3448275862068966,2
592,80,0.02,0.017391304347826087,2
592,81,0.05,0.05217391304347826,6
592,82,0.1,0.1391304347826087,1
592,83,0.2,0.7391304347826086,1
592,84,0.3,0.7391304347826086,1
629,85,0.02,0.02127659574468085,1
629,86,0.05,0.0425531914893617,2
629,87,0.1,0.10638297872340426,5
629,88,0.2,0.19148936170212766,9
629,89,0.3,0.2978723404255319,4
666,90,0.02,0.0189873417721519,6
666,91,0.05,0.05063291139240506,6
666,92,0.1,0.31329113924050633,1
666,93,0.2,0.20569620253164558,6
666,94,0.3,0.30063291139240506,15
703,95,0.02,0.018518518518518517,1
703,96,0.05,0.05555555555555555,3
703,97,0.1,0.09259259259259259,5
703,98,0.2,0.7222222222222222,1
703,99,0.3,0.6296296296296297,1
740,100,0.02,0.02247191011235955,2
740,101,0.05,0.0449438202247191,4
740,102,0.1,0.10112359550561797,9
740,103,0.2,0.24719101123595505,1
740,104,0.3,0.30337078651685395,7
777,105,0.02,0.02531645569620253,2
777,106,0.05,0.05063291139240506,4
777,107,0.1,0.10126582278481013,8
777,108,0.2,0.20253164556962025,7
777,109,0.3,0.35443037974683544,1
814,110,0.02,0.020833333333333332,4
814,111,0.05,0.15625,1
814,112,0.1,0.1875,2
814,113,0.2,0.19791666666666666,9
814,114,0.3,0.3020833333333333,12
851,115,0.02,0.0196078431372549,2
851,116,0.05,0.049019607843137254,5
851,117,0.1,0.10784313725490197,1
851,118,0.2,0.6176470588235294,2
851,119,0.3,0.7352941176470589,1
888,120,0.02,0.020202020202020204,8
888,121,0.05,0.07323232323232323,1
888,122,0.1,0.10101010101010101,3
888,123,0.2,0.1994949494949495,14
888,124,0.3,1.2954545454545454,2
925,125,0.02,0.019736842105263157,6
925,126,0.05,0.049342105263157895,4
925,127,0.1,0.09868421052631579,8
925,128,0.2,0.20065789473684212,11
925,129,0.3,0.2993421052631579,8
962,130,0.02,0.019417475728155338,2
962,131,0.05,0.04854368932038835,5
962,132,0.1,0.0970873786407767,10
962,133,0.2,0.32038834951456313,1
962,134,0.3,0.9902912621359223,2
999,135,0.02,0.022058823529411766,3
999,136,0.05,0.051470588235294115,7
999,137,0.1,0.10294117647058823,1
999,138,0.2,0.20588235294117646,3
999,139,0.3,0.39705882352941174,2
1036,140,0.02,0.018867924528301886,1
1036,141,0.05,0.05660377358490566,3
1036,142,0.1,0.09433962264150944,5
1036,143,0.2,0.7169811320754716,2
1036,144,0.3,0.3018867924528302,6
1073,145,0.02,0.021739130434782608,2
1073,146,0.05,0.05434782608695652,5
1073,147,0.1,0.09782608695652174,9
1073,148,0.2,0.30434782608695654,2
1073,149,0.3,0.31521739130434784,1
1110,150,0.02,0.02142857142857143,3
1110,151,0.05,0.05,7
1110,152,0.1,0.1,1
1110,153,0.2,0.37142857142857144,3
1110,154,0.3,0.3,6
1147,155,0.02,0.020050125313283207,8
1147,156,0.05,0.05012531328320802,7
1147,157,0.1,0.10776942355889724,2
1147,158,0.2,0.20050125313283207,6
1147,159,0.3,0.3007518796992481,14
1184,160,0.02,0.022988505747126436,2
1184,161,0.05,0.04597701149425287,4
1184,162,0.1,0.10344827586206896,9
1184,163,0.2,0.5172413793103449,2
1184,164,0.3,0.2988505747126437,11
1221,165,0.02,0.018518518518518517,1
1221,166,0.05,0.05555555555555555,3
1221,167,0.1,0.09259259259259259,5
1221,168,0.2,0.2037037037037037,2
1221,169,0.3,0.37037037037037035,1
1258,170,0.02,0.019230769230769232,2
1258,171,0.05,0.04807692307692308,5
1258,172,0.1,0.20192307692307693,1
1258,173,0.2,0.25,1
1258,174,0.3,0.2980769230769231,6
1295,175,0.02,0.024096385542168676,2
1295,176,0.05,0.04819277108433735,4
1295,177,0.1,0.0963855421686747,8
1295,178,0.2,0.4457831325301205,2
1295,179,0.3,0.3253012048192771,3
1332,180,0.02,0.01639344262295082,1
1332,181,0.05,0.04918032786885246,3
1332,182,0.1,0.09836065573770492,6
1332,183,0.2,0.3442622950819672,1
1332,184,0.3,0.29508196721311475,11
1369,185,0.02,0.016129032258064516,1
1369,186,0.05,0.04838709677419355,3
1369,187,0.1,0.0967741935483871,6
1369,188,0.2,0.1935483870967742,6
1369,189,0.3,0.3064516129032258,10
1406,190,0.02,0.019230769230769232,3
1406,191,0.05,0.05128205128205128,8
1406,192,0.1,0.10256410256410256,7
1406,193,0.2,0.1987179487179487,8
1406,194,0.3,0.3333333333333333,6
1443,195,0.02,0.019230769230769232,1
1443,196,0.05,0.057692307692307696,3
1443,197,0.1,0.09615384615384616,5
1443,198,0.2,0.19230769230769232,10
1443,199,0.3,0.3076923076923077,6
